"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000091128" 3.26884587680847 2.06370050165531 51.6690063397206 6.56916183727347e-13 1.24721309547523e-11 "LAMB4" "protein_coding"
"ENSG00000091181" -1.66786772120117 -0.169127612863411 27.7322554104375 1.39320258655099e-07 1.1504696791262e-06 "IL5RA" "protein_coding"
"ENSG00000091482" 3.66360162072957 3.57779413328432 41.4044433917276 1.23775720875831e-10 1.67468596478328e-09 "SMPX" "protein_coding"
"ENSG00000091622" -2.76938686835418 3.56437391638603 135.760533395084 2.25105411658835e-31 3.43342502043167e-29 "PITPNM3" "protein_coding"
"ENSG00000091651" 2.87622863832427 4.67274412279317 153.471458650923 3.02160238119643e-35 6.30386138159837e-33 "ORC6" "protein_coding"
"ENSG00000091972" 1.83860269429104 5.2058561810859 82.6381758358224 9.85354907410408e-20 4.44339981290748e-18 "CD200" "protein_coding"
"ENSG00000092098" 2.17687751364679 -0.911009878731047 37.4427739855856 9.41348142200032e-10 1.10839698053855e-08 "RNF31" "protein_coding"
"ENSG00000092470" 2.2386775977541 5.93475023347975 123.227726689439 1.24328144431509e-28 1.45588257129297e-26 "WDR76" "protein_coding"
"ENSG00000092853" 2.81145782230537 5.10350165891893 129.996398523675 4.10521818738754e-30 5.4788060816307e-28 "CLSPN" "protein_coding"
"ENSG00000093009" 3.08862256515063 5.30794424135777 168.490277216797 1.58093283841485e-38 4.18901043556916e-36 "CDC45" "protein_coding"
"ENSG00000094804" 3.19421216207189 6.77375476639845 169.051445967585 1.192184484252e-38 3.18216830609057e-36 "CDC6" "protein_coding"
"ENSG00000095059" 1.70346055150764 1.90653590814682 103.363095997579 2.79024049148197e-24 2.21153973976609e-22 "DHPS" "protein_coding"
"ENSG00000095587" 2.05219447283637 2.10405538557219 31.5553783357672 1.93832774971148e-08 1.84825940746721e-07 "TLL2" "protein_coding"
"ENSG00000095596" -3.88537939828568 4.04638412949795 122.503948808071 1.79058513111064e-28 2.07667830173953e-26 "CYP26A1" "protein_coding"
